Bicep counter: 1 | time: 2023-09-13 16:02:52.756269
Bicep counter: 2 | time: 2023-09-13 16:02:58.297023
Bicep counter: 1 | time: 2023-09-13 16:05:42.771170
Bicep counter: 2 | time: 2023-09-13 16:05:43.004949
Bicep counter: 3 | time: 2023-09-13 16:05:45.586265
Bicep counter: 4 | time: 2023-09-13 16:05:46.840467
Bicep counter: 5 | time: 2023-09-13 16:05:52.781095
Bicep counter: 6 | time: 2023-09-13 16:05:57.160301
Bicep counter: 7 | time: 2023-09-13 16:06:02.270800
Bicep counter: 1 | time: 2023-09-13 16:28:06.840619
Bicep counter: 2 | time: 2023-09-13 16:28:08.308898
Bicep counter: 3 | time: 2023-09-13 16:28:09.805513
Bicep counter: 1 | time: 2023-09-13 16:28:28.072434
Bicep counter: 2 | time: 2023-09-13 16:28:30.359503
Bicep counter: 3 | time: 2023-09-13 16:28:34.999723
Bicep counter: 4 | time: 2023-09-13 16:28:38.752057
Bicep counter: 5 | time: 2023-09-13 16:28:45.051410
Bicep counter: 6 | time: 2023-09-13 16:28:47.270945
Bicep counter: 7 | time: 2023-09-13 16:28:51.389217
Bicep counter: 8 | time: 2023-09-13 16:28:52.977763
Bicep counter: 9 | time: 2023-09-13 16:28:56.691118
Bicep counter: 1 | time: 2023-09-13 16:36:35.248998
Bicep counter: 2 | time: 2023-09-13 16:36:41.715924
Bicep counter: 3 | time: 2023-09-13 16:36:42.173530
Bicep counter: 4 | time: 2023-09-13 16:36:47.421534
Bicep counter: 5 | time: 2023-09-13 16:36:50.227493
Bicep counter: 6 | time: 2023-09-13 16:37:05.844995
Bicep counter: 7 | time: 2023-09-13 16:37:19.343461
Bicep counter: 8 | time: 2023-09-13 16:37:24.244123
Bicep counter: 9 | time: 2023-09-13 16:37:28.109970
Bicep counter: 10 | time: 2023-09-13 16:37:31.098094
Bicep counter: 11 | time: 2023-09-13 16:37:33.427695
Bicep counter: 12 | time: 2023-09-13 16:37:35.568398
Bicep counter: 13 | time: 2023-09-13 16:37:37.074344
Bicep counter: 14 | time: 2023-09-13 16:37:38.131905
Bicep counter: 15 | time: 2023-09-13 16:37:41.159656
Bicep counter: 1 | time: 2023-09-13 16:38:17.959116
Bicep counter: 2 | time: 2023-09-13 16:38:29.801398
Bicep counter: 3 | time: 2023-09-13 16:38:33.930316
Bicep counter: 4 | time: 2023-09-13 16:38:47.222623
Bicep counter: 1 | time: 2023-09-13 16:43:47.464518
Bicep counter: 2 | time: 2023-09-13 16:43:49.614592
Bicep counter: 3 | time: 2023-09-13 16:43:52.883647
Bicep counter: 4 | time: 2023-09-13 16:43:53.991544
Bicep counter: 5 | time: 2023-09-13 16:44:00.852827
Bicep counter: 6 | time: 2023-09-13 16:44:02.045308
Bicep counter: 7 | time: 2023-09-13 16:44:04.311752
Bicep counter: 8 | time: 2023-09-13 16:44:06.382654
Bicep counter: 9 | time: 2023-09-13 16:44:08.166630
Bicep counter: 10 | time: 2023-09-13 16:44:11.544550
Bicep counter: 11 | time: 2023-09-13 16:44:12.102834
Bicep counter: 12 | time: 2023-09-13 16:44:14.967738
Bicep counter: 13 | time: 2023-09-13 16:44:18.804551
Bicep counter: 14 | time: 2023-09-13 16:44:19.043154
Bicep counter: 15 | time: 2023-09-13 16:44:20.295190
Bicep counter: 16 | time: 2023-09-13 16:44:22.113537
Bicep counter: 17 | time: 2023-09-13 16:44:29.631754
Bicep counter: 18 | time: 2023-09-13 16:44:30.382425
Bicep counter: 19 | time: 2023-09-13 16:44:31.218762
Bicep counter: 20 | time: 2023-09-13 16:44:35.203321
Bicep counter: 21 | time: 2023-09-13 16:44:35.638030
Bicep counter: 22 | time: 2023-09-13 16:44:38.187274
Bicep counter: 23 | time: 2023-09-13 16:44:40.001240
Bicep counter: 1 | time: 2023-09-14 15:05:21.270705
Bicep counter: 2 | time: 2023-09-14 15:05:33.546337
Bicep counter: 3 | time: 2023-09-14 15:05:51.324973
Bicep counter: 4 | time: 2023-09-14 15:05:58.850958
Bicep counter: 5 | time: 2023-09-14 15:06:04.540472
Bicep counter: 1 | time: 2023-09-14 17:18:08.660360
Bicep counter: 2 | time: 2023-09-14 17:18:27.052732
Bicep counter: 3 | time: 2023-09-14 17:18:29.782104
Bicep counter: 4 | time: 2023-09-14 17:18:31.873531
Bicep counter: 5 | time: 2023-09-14 17:18:33.775645
Squat counter: 1 | time: 2023-09-14 17:18:39.206263
